,Type,ticker,shares,Price,trans_date,usd_commision,active_flag
0,B,AMZN,7,3154.89,11/12/2020,45.95,0
1,B,LOGI,130,102.32,11/01/2021,45.95,0
2,S,LOGI,130,120.93,01/06/2021,51,0
3,B,FND,100,102.46,28/06/2021,46.28,0
4,B,NXST,100,151.8275,01/07/2021,41.5585,0
5,S,FND,100,129.3887,09/08/2021,41.56,0
6,B,ONEW,150,45.859537,11/08/2021,41.5,0
7,B,LAD,20,351.76265,20/08/2021,41.37,1
8,S,AMZN,7,3525.231429,05/11/2021,61.69,0
9,B,DQ,200,65.2299,09/11/2021,40.95,0
10,B,TPL,10,1392.2633,09/11/2021,41.04,1
11,B,LAZY,500,21.0119,09/11/2021,40.96,1
12,S,NXST,100,169.22,09/11/2021,42.3,0
13,S,DQ,200,70.38975,11/11/2021,40.54,0
14,B,ATCO,700,14.818471,11/11/2021,40.54,1
15,S,ONEW,150,49.579867,11/11/2021,40.55,0
16,B,QNST,1000,17.2568,15/11/2021,38.02,0
17,B,LU,2000,7.1787,15/11/2021,40.39,1
18,B,DQ,200,62.2499,26/11/2021,40.54,1
19,S,QNST,1000,18.4548,09/12/2021,46.14,0
20,B,DQ,200,45.9399,09/12/2021,39.88,1
21,B,GOOS,200,39.93,09/12/2021,39.89,1
